date,state,fips,cases,deaths
3/21/2020,Alaska,2,21,0
3/22/2020,Alaska,2,22,0
3/23/2020,Alaska,2,36,0
3/24/2020,Alaska,2,42,0
3/25/2020,Alaska,2,59,0
3/26/2020,Alaska,2,69,0
3/27/2020,Alaska,2,85,1
3/28/2020,Alaska,2,102,1
3/29/2020,Alaska,2,114,2
3/30/2020,Alaska,2,120,2
3/31/2020,Alaska,2,133,2
4/1/2020,Alaska,2,143,2
4/2/2020,Alaska,2,146,2
4/3/2020,Alaska,2,156,2
4/4/2020,Alaska,2,169,3
4/5/2020,Alaska,2,183,4
4/6/2020,Alaska,2,189,4
4/7/2020,Alaska,2,211,4
4/8/2020,Alaska,2,224,5
4/9/2020,Alaska,2,233,5
4/10/2020,Alaska,2,244,5
4/11/2020,Alaska,2,255,6
4/12/2020,Alaska,2,270,6
4/13/2020,Alaska,2,275,6
4/14/2020,Alaska,2,283,7
4/15/2020,Alaska,2,291,7
4/16/2020,Alaska,2,298,7
4/17/2020,Alaska,2,307,7
4/18/2020,Alaska,2,312,7
4/19/2020,Alaska,2,317,7
4/20/2020,Alaska,2,319,7
4/21/2020,Alaska,2,327,7
4/22/2020,Alaska,2,333,7
4/23/2020,Alaska,2,335,7
4/24/2020,Alaska,2,337,7
4/25/2020,Alaska,2,337,7
4/26/2020,Alaska,2,339,7
4/27/2020,Alaska,2,343,7
4/28/2020,Alaska,2,349,7
4/29/2020,Alaska,2,353,7
4/30/2020,Alaska,2,353,7
5/1/2020,Alaska,2,362,7
5/2/2020,Alaska,2,363,7
5/3/2020,Alaska,2,366,7
5/4/2020,Alaska,2,368,7
5/5/2020,Alaska,2,369,7
5/6/2020,Alaska,2,370,8
5/7/2020,Alaska,2,373,8
5/8/2020,Alaska,2,376,8
5/9/2020,Alaska,2,377,8
5/10/2020,Alaska,2,378,8
5/11/2020,Alaska,2,380,8
5/12/2020,Alaska,2,383,8
5/13/2020,Alaska,2,383,8
5/14/2020,Alaska,2,387,8
5/15/2020,Alaska,2,388,8
5/16/2020,Alaska,2,392,8
5/17/2020,Alaska,2,396,8
5/18/2020,Alaska,2,399,8
5/19/2020,Alaska,2,399,8
5/20/2020,Alaska,2,402,8
5/21/2020,Alaska,2,402,8
5/22/2020,Alaska,2,404,8
5/23/2020,Alaska,2,409,8
5/24/2020,Alaska,2,409,8
5/25/2020,Alaska,2,412,8
5/26/2020,Alaska,2,416,8
5/27/2020,Alaska,2,417,8
5/28/2020,Alaska,2,430,8
5/29/2020,Alaska,2,436,8
5/30/2020,Alaska,2,441,8
5/31/2020,Alaska,2,469,8
6/1/2020,Alaska,2,476,8
6/2/2020,Alaska,2,497,8
6/3/2020,Alaska,2,516,8
6/4/2020,Alaska,2,542,8
6/5/2020,Alaska,2,565,8
6/6/2020,Alaska,2,579,8
6/7/2020,Alaska,2,588,8
6/8/2020,Alaska,2,607,8
6/9/2020,Alaska,2,620,9
6/10/2020,Alaska,2,642,9
6/11/2020,Alaska,2,666,9
6/12/2020,Alaska,2,688,10
6/13/2020,Alaska,2,722,10
6/14/2020,Alaska,2,734,10
6/15/2020,Alaska,2,738,10
6/16/2020,Alaska,2,751,10
6/17/2020,Alaska,2,776,10
6/18/2020,Alaska,2,795,10
6/19/2020,Alaska,2,821,10
6/20/2020,Alaska,2,845,10
6/21/2020,Alaska,2,859,10
6/22/2020,Alaska,2,869,10
6/23/2020,Alaska,2,905,10
6/24/2020,Alaska,2,926,10
6/25/2020,Alaska,2,971,10
6/26/2020,Alaska,2,1001,12
6/27/2020,Alaska,2,1027,12
6/28/2020,Alaska,2,1060,12
6/29/2020,Alaska,2,1085,12
6/30/2020,Alaska,2,1132,12
7/1/2020,Alaska,2,1174,12
7/2/2020,Alaska,2,1224,12
7/3/2020,Alaska,2,1284,13
7/4/2020,Alaska,2,1339,14
7/5/2020,Alaska,2,1371,14
7/6/2020,Alaska,2,1401,14
7/7/2020,Alaska,2,1423,15
7/8/2020,Alaska,2,1472,15
7/9/2020,Alaska,2,1521,15
7/10/2020,Alaska,2,1579,15
7/11/2020,Alaska,2,1656,15
7/12/2020,Alaska,2,1772,15
7/13/2020,Alaska,2,1843,15
7/14/2020,Alaska,2,1897,15
7/15/2020,Alaska,2,1958,15
7/16/2020,Alaska,2,2034,15
7/17/2020,Alaska,2,2083,15
7/18/2020,Alaska,2,2157,16
7/19/2020,Alaska,2,2275,16
7/20/2020,Alaska,2,2412,16
7/21/2020,Alaska,2,2523,16
7/22/2020,Alaska,2,2617,17
7/23/2020,Alaska,2,2682,17
7/24/2020,Alaska,2,2746,17
7/25/2020,Alaska,2,2866,18
7/26/2020,Alaska,2,3100,18
7/27/2020,Alaska,2,3204,19
7/28/2020,Alaska,2,3348,20
7/29/2020,Alaska,2,3440,20
7/30/2020,Alaska,2,3557,21
7/31/2020,Alaska,2,3675,21
8/1/2020,Alaska,2,3825,22
8/2/2020,Alaska,2,3982,22
8/3/2020,Alaska,2,4062,23
8/4/2020,Alaska,2,4123,23
8/5/2020,Alaska,2,4181,23
8/6/2020,Alaska,2,4221,23
8/7/2020,Alaska,2,4286,23
8/8/2020,Alaska,2,4371,24
8/9/2020,Alaska,2,4471,24
8/10/2020,Alaska,2,4537,24
8/11/2020,Alaska,2,4587,24
8/12/2020,Alaska,2,4653,25
8/13/2020,Alaska,2,4748,25
8/14/2020,Alaska,2,4867,25
8/15/2020,Alaska,2,4952,26
8/16/2020,Alaska,2,5058,26
8/17/2020,Alaska,2,5108,26
8/18/2020,Alaska,2,5175,27
8/19/2020,Alaska,2,5245,27
8/20/2020,Alaska,2,5330,27
8/21/2020,Alaska,2,5401,28
8/22/2020,Alaska,2,5492,29
8/23/2020,Alaska,2,5556,30
8/24/2020,Alaska,2,5626,30
8/25/2020,Alaska,2,5621,33
8/26/2020,Alaska,2,5671,34
8/27/2020,Alaska,2,5752,34
8/28/2020,Alaska,2,5874,34
8/29/2020,Alaska,2,5985,34
8/30/2020,Alaska,2,6036,34
8/31/2020,Alaska,2,6075,34
9/1/2020,Alaska,2,6109,36
9/2/2020,Alaska,2,6181,36
9/3/2020,Alaska,2,6287,37
9/4/2020,Alaska,2,6416,37
9/5/2020,Alaska,2,6514,39
9/6/2020,Alaska,2,6603,39
9/7/2020,Alaska,2,6637,39
9/8/2020,Alaska,2,6670,39
